country,country_code_2_digit,country_code_3_digit,population,reported_year_week,reported_week_start_date,reported_week_end_date,new_hospital_occupancy_count,new_icu_occupancy_count,source
Belgium,BE,BEL,11455519,2020-W43,2020-10-18,2020-10-24,28.3793340135877,,"TESSy COVID-19, national weekly data"
Czechia,CZ,CZE,10649800,2020-W43,2020-10-18,2020-10-24,81.9545906965389,14.9298578377059,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W43,2020-10-18,2020-10-24,2.79017809086715,,
Estonia,EE,EST,1324820,2020-W43,2020-10-18,2020-10-24,,0.301927809060854,"TESSy COVID-19, national weekly data"
France,FR,FRA,67012883,2020-W43,2020-10-18,2020-10-24,,2.70992668678349,
Greece,EL,GRC,10724599,2020-W43,2020-10-18,2020-10-24,,0.512839687525846,"TESSy COVID-19, national weekly data"
Iceland,IS,ISL,356991,2020-W43,2020-10-18,2020-10-24,14.8463126521397,,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W43,2020-10-18,2020-10-24,4.44513319087157,0.244686230690178,
Latvia,LV,LVA,1919968,2020-W43,2020-10-18,2020-10-24,6.45844097401623,0.416673611226854,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W43,2020-10-18,2020-10-24,,1.86897901611043,
Netherlands,NL,NLD,17282163,2020-W43,2020-10-18,2020-10-24,2.09464521310209,,"TESSy COVID-19, national daily data"
Portugal,PT,PRT,10276617,2020-W43,2020-10-18,2020-10-24,2.3840530400228,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W43,2020-10-18,2020-10-24,136.042942841876,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W43,2020-10-18,2020-10-24,7.59283927977594,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W43,2020-10-18,2020-10-24,6.40645153318082,0.323837922528595,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W43,2020-10-18,2020-10-24,,0.273699840227718,
United Kingdom,UK,GBR,66647112,2020-W43,2020-10-18,2020-10-24,10.2585090258675,,
Belgium,BE,BEL,11455519,2020-W42,2020-10-11,2020-10-17,15.4510677342511,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W42,2020-10-11,2020-10-17,12.8304327069564,,
Cyprus,CY,CYP,875899,2020-W42,2020-10-11,2020-10-17,2.39753670229102,0.342505243184431,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W42,2020-10-11,2020-10-17,53.6348100433811,10.7325959172942,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W42,2020-10-11,2020-10-17,2.49738162454158,,
Estonia,EE,EST,1324820,2020-W42,2020-10-11,2020-10-17,,0.150963904530427,"TESSy COVID-19, national weekly data"
Estonia,EE,EST,1324820,2020-W42,2020-10-11,2020-10-17,0.377409761326067,,"TESSy COVID-19, national daily data"
France,FR,FRA,67012883,2020-W42,2020-10-11,2020-10-17,,2.00409225790211,
Greece,EL,GRC,10724599,2020-W42,2020-10-11,2020-10-17,,0.354325602290585,"TESSy COVID-19, national weekly data"
Iceland,IS,ISL,356991,2020-W42,2020-10-11,2020-10-17,4.76202481295047,,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W42,2020-10-11,2020-10-17,3.05857788362723,0.183514673017634,
Latvia,LV,LVA,1919968,2020-W42,2020-10-11,2020-10-17,2.70837847297455,0.31250520842014,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W42,2020-10-11,2020-10-17,2.87001112071446,,"TESSy COVID-19, national daily data"
Netherlands,NL,NLD,17282163,2020-W42,2020-10-11,2020-10-17,,1.52758656425125,
Portugal,PT,PRT,10276617,2020-W42,2020-10-11,2020-10-17,2.43270718369674,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W42,2020-10-11,2020-10-17,118.792911962827,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W42,2020-10-11,2020-10-17,7.59283927977594,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W42,2020-10-11,2020-10-17,9.60222050550248,0.664719946242905,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W42,2020-10-11,2020-10-17,,0.185724891583095,
United Kingdom,UK,GBR,66647112,2020-W42,2020-10-11,2020-10-17,10.1684826193219,,
Belgium,BE,BEL,11455519,2020-W41,2020-10-04,2020-10-10,7.68188678313047,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W41,2020-10-04,2020-10-10,8.31647550221454,,
Cyprus,CY,CYP,875899,2020-W41,2020-10-04,2020-10-10,0.456673657579241,,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W41,2020-10-04,2020-10-10,32.5546019643561,7.75601419744972,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W41,2020-10-04,2020-10-10,1.87734204879333,,
Estonia,EE,EST,1324820,2020-W41,2020-10-04,2020-10-10,,0.301927809060854,"TESSy COVID-19, national weekly data"
Estonia,EE,EST,1324820,2020-W41,2020-10-04,2020-10-10,0.754819522652134,,"TESSy COVID-19, national daily data"
France,FR,FRA,67012883,2020-W41,2020-10-04,2020-10-10,,1.35794784414812,
Greece,EL,GRC,10724599,2020-W41,2020-10-04,2020-10-10,,0.382298676155631,"TESSy COVID-19, national weekly data"
Iceland,IS,ISL,356991,2020-W41,2020-10-04,2020-10-10,6.44273945281534,,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W41,2020-10-04,2020-10-10,2.22256659543579,0.0815620768967261,
Latvia,LV,LVA,1919968,2020-W41,2020-10-04,2020-10-10,2.55212586876448,0.15625260421007,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W41,2020-10-04,2020-10-10,,1.05889523203779,
Netherlands,NL,NLD,17282163,2020-W41,2020-10-04,2020-10-10,2.42446503947452,,"TESSy COVID-19, national daily data"
Portugal,PT,PRT,10276617,2020-W41,2020-10-04,2020-10-10,1.77101082973122,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W41,2020-10-04,2020-10-10,94.357514384383,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W41,2020-10-04,2020-10-10,4.42114692240118,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W41,2020-10-04,2020-10-10,9.14629079878459,0.703069173910765,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W41,2020-10-04,2020-10-10,,0.1661749029954,
United Kingdom,UK,GBR,66647112,2020-W41,2020-10-04,2020-10-10,7.29964113073647,,
Belgium,BE,BEL,11455519,2020-W40,2020-09-27,2020-10-03,4.72261448826544,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W40,2020-09-27,2020-10-03,5.69151125815272,,
Cyprus,CY,CYP,875899,2020-W40,2020-09-27,2020-10-03,0.456673657579241,0.342505243184431,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W40,2020-09-27,2020-10-03,19.0707806719375,4.5634659805818,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W40,2020-09-27,2020-10-03,2.22180847976458,,
Estonia,EE,EST,1324820,2020-W40,2020-09-27,2020-10-03,,0.301927809060854,"TESSy COVID-19, national weekly data"
Estonia,EE,EST,1324820,2020-W40,2020-09-27,2020-10-03,1.88704880663034,,"TESSy COVID-19, national daily data"
France,FR,FRA,67012883,2020-W40,2020-09-27,2020-10-03,,1.33257958771898,
Germany,DE,DEU,83019213,2020-W40,2020-09-27,2020-10-03,0.379430241045528,,"TESSy COVID-19, national daily data"
Greece,EL,GRC,10724599,2020-W40,2020-09-27,2020-10-03,,0.447569181840738,"TESSy COVID-19, national weekly data"
Iceland,IS,ISL,356991,2020-W40,2020-09-27,2020-10-03,4.48190570630632,,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W40,2020-09-27,2020-10-03,1.38655530724434,0.183514673017634,
Latvia,LV,LVA,1919968,2020-W40,2020-09-27,2020-10-03,1.35418923648728,0.208336805613427,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W40,2020-09-27,2020-10-03,1.93841476903094,,"TESSy COVID-19, national daily data"
Netherlands,NL,NLD,17282163,2020-W40,2020-09-27,2020-10-03,,0.676998590974984,
Portugal,PT,PRT,10276617,2020-W40,2020-09-27,2020-10-03,1.54720176883112,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W40,2020-09-27,2020-10-03,54.7375569279348,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W40,2020-09-27,2020-10-03,2.97946857813993,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W40,2020-09-27,2020-10-03,7.59101656558805,0.613587642685758,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W40,2020-09-27,2020-10-03,,0.117299931526165,
United Kingdom,UK,GBR,66647112,2020-W40,2020-09-27,2020-10-03,5.23203466040659,,
Belgium,BE,BEL,11455519,2020-W39,2020-09-20,2020-09-26,3.91077872595733,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W39,2020-09-20,2020-09-26,5.02913710310909,,
Cyprus,CY,CYP,875899,2020-W39,2020-09-20,2020-09-26,1.37002097273772,0.342505243184431,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W39,2020-09-20,2020-09-26,12.9579898214051,3.00475126293452,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W39,2020-09-20,2020-09-26,2.30792508750739,,
Estonia,EE,EST,1324820,2020-W39,2020-09-20,2020-09-26,1.88704880663034,,"TESSy COVID-19, national daily data"
Estonia,EE,EST,1324820,2020-W39,2020-09-20,2020-09-26,,0.22644585679564,"TESSy COVID-19, national weekly data"
France,FR,FRA,67012883,2020-W39,2020-09-20,2020-09-26,,1.17290879725321,
Germany,DE,DEU,83019213,2020-W39,2020-09-20,2020-09-26,0.496270664478595,,"TESSy COVID-19, national daily data"
Greece,EL,GRC,10724599,2020-W39,2020-09-20,2020-09-26,,0.270406380695446,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W39,2020-09-20,2020-09-26,1.14186907655417,0.0815620768967261,
Latvia,LV,LVA,1919968,2020-W39,2020-09-20,2020-09-26,0.31250520842014,0.0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W39,2020-09-20,2020-09-26,,0.514981834160458,
Netherlands,NL,NLD,17282163,2020-W39,2020-09-20,2020-09-26,1.55073181522475,,"TESSy COVID-19, national daily data"
Portugal,PT,PRT,10276617,2020-W39,2020-09-20,2020-09-26,1.47908596768762,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W39,2020-09-20,2020-09-26,48.8141363513728,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W39,2020-09-20,2020-09-26,2.06640562677447,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W39,2020-09-20,2020-09-26,8.08955652527022,0.619979180630402,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W39,2020-09-20,2020-09-26,,0.0781999543507767,
United Kingdom,UK,GBR,66647112,2020-W39,2020-09-20,2020-09-26,3.88013812211398,,
Belgium,BE,BEL,11455519,2020-W38,2020-09-13,2020-09-19,2.76722512528677,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W38,2020-09-13,2020-09-19,4.19503631527636,,
Cyprus,CY,CYP,875899,2020-W38,2020-09-13,2020-09-19,0.570842071974052,,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W38,2020-09-13,2020-09-19,8.10343856222652,1.71834212849068,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W38,2020-09-13,2020-09-19,2.03235194273039,,
Estonia,EE,EST,1324820,2020-W38,2020-09-13,2020-09-19,1.20771123624341,,"TESSy COVID-19, national daily data"
Estonia,EE,EST,1324820,2020-W38,2020-09-13,2020-09-19,,0.22644585679564,"TESSy COVID-19, national weekly data"
France,FR,FRA,67012883,2020-W38,2020-09-13,2020-09-19,,0.893857976532662,
Germany,DE,DEU,83019213,2020-W38,2020-09-13,2020-09-19,0.502293366717413,,"TESSy COVID-19, national daily data"
Greece,EL,GRC,10724599,2020-W38,2020-09-13,2020-09-19,,0.419596107975692,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W38,2020-09-13,2020-09-19,0.999135441984895,0.122343115345089,
Latvia,LV,LVA,1919968,2020-W38,2020-09-13,2020-09-19,0.364589409823497,0.0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W38,2020-09-13,2020-09-19,1.07625417026792,,"TESSy COVID-19, national daily data"
Netherlands,NL,NLD,17282163,2020-W38,2020-09-13,2020-09-19,,0.295101949912172,
Portugal,PT,PRT,10276617,2020-W38,2020-09-13,2020-09-19,1.54720176883112,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W38,2020-09-13,2020-09-19,44.9973931798663,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W38,2020-09-13,2020-09-19,1.97029373715705,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W38,2020-09-13,2020-09-19,8.63070673791669,0.664719946242905,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W38,2020-09-13,2020-09-19,,0.0684249600569296,
United Kingdom,UK,GBR,66647112,2020-W38,2020-09-13,2020-09-19,2.76231024083984,,
Belgium,BE,BEL,11455519,2020-W37,2020-09-06,2020-09-12,1.85936577818954,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W37,2020-09-06,2020-09-12,5.37259036868727,,
Cyprus,CY,CYP,875899,2020-W37,2020-09-06,2020-09-12,0.11416841439481,,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W37,2020-09-06,2020-09-12,4.76065278221187,1.1080020282071,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W37,2020-09-06,2020-09-12,1.34341908078788,,
Estonia,EE,EST,1324820,2020-W37,2020-09-06,2020-09-12,,0.0754819522652134,"TESSy COVID-19, national weekly data"
Estonia,EE,EST,1324820,2020-W37,2020-09-06,2020-09-12,0.754819522652134,,"TESSy COVID-19, national daily data"
France,FR,FRA,67012883,2020-W37,2020-09-06,2020-09-12,,0.637190911484886,
Germany,DE,DEU,83019213,2020-W37,2020-09-06,2020-09-12,0.374612079254473,,"TESSy COVID-19, national daily data"
Greece,EL,GRC,10724599,2020-W37,2020-09-06,2020-09-12,,0.335676886380554,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W37,2020-09-06,2020-09-12,0.489372461380357,0.0,
Latvia,LV,LVA,1919968,2020-W37,2020-09-06,2020-09-12,0.31250520842014,0.0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W37,2020-09-06,2020-09-12,,0.167803069557902,
Netherlands,NL,NLD,17282163,2020-W37,2020-09-06,2020-09-12,0.49762289593033,,"TESSy COVID-19, national daily data"
Portugal,PT,PRT,10276617,2020-W37,2020-09-06,2020-09-12,1.39150850907453,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W37,2020-09-06,2020-09-12,40.135037506584,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W37,2020-09-06,2020-09-12,1.73001401311351,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W37,2020-09-06,2020-09-12,8.82458338890421,0.690286098021478,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W37,2020-09-06,2020-09-12,,0.0879749486446237,
United Kingdom,UK,GBR,66647112,2020-W37,2020-09-06,2020-09-12,2.08111043131171,,
Belgium,BE,BEL,11455519,2020-W36,2020-08-30,2020-09-05,1.03880059908242,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W36,2020-08-30,2020-09-05,5.74057601037818,,
Cyprus,CY,CYP,875899,2020-W36,2020-08-30,2020-09-05,0.11416841439481,,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W36,2020-08-30,2020-09-05,3.09864973990122,0.741797968036958,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W36,2020-08-30,2020-09-05,0.775049469685318,,
Estonia,EE,EST,1324820,2020-W36,2020-08-30,2020-09-05,0.22644585679564,,"TESSy COVID-19, national daily data"
Estonia,EE,EST,1324820,2020-W36,2020-08-30,2020-09-05,,0.0,"TESSy COVID-19, national weekly data"
France,FR,FRA,67012883,2020-W36,2020-08-30,2020-09-05,,0.429768108917206,
Germany,DE,DEU,83019213,2020-W36,2020-08-30,2020-09-05,0.307157814179713,,"TESSy COVID-19, national daily data"
Greece,EL,GRC,10724599,2020-W36,2020-08-30,2020-09-05,,0.205135875010338,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W36,2020-08-30,2020-09-05,0.407810384483631,0.0203905192241815,
Latvia,LV,LVA,1919968,2020-W36,2020-08-30,2020-09-05,0.260421007016784,0.0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W36,2020-08-30,2020-09-05,0.329819826372428,,"TESSy COVID-19, national daily data"
Netherlands,NL,NLD,17282163,2020-W36,2020-08-30,2020-09-05,,0.0925810038940149,
Portugal,PT,PRT,10276617,2020-W36,2020-08-30,2020-09-05,1.15796861943965,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W36,2020-08-30,2020-09-05,41.3145708213951,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W36,2020-08-30,2020-09-05,0.768895116939336,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W36,2020-08-30,2020-09-05,8.1300362655863,0.798942243080415,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W36,2020-08-30,2020-09-05,,0.0781999543507767,
United Kingdom,UK,GBR,66647112,2020-W36,2020-08-30,2020-09-05,1.37890446025628,,
Belgium,BE,BEL,11455519,2020-W35,2020-08-23,2020-08-29,0.899129930298226,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W35,2020-08-23,2020-08-29,4.63661908530545,,
Cyprus,CY,CYP,875899,2020-W35,2020-08-23,2020-08-29,0.570842071974052,,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W35,2020-08-23,2020-08-29,2.25356344720089,0.535221318710211,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W35,2020-08-23,2020-08-29,0.39613639561694,,
Estonia,EE,EST,1324820,2020-W35,2020-08-23,2020-08-29,0.150963904530427,,"TESSy COVID-19, national daily data"
Estonia,EE,EST,1324820,2020-W35,2020-08-23,2020-08-29,,0.0,"TESSy COVID-19, national weekly data"
France,FR,FRA,67012883,2020-W35,2020-08-23,2020-08-29,,0.313372579418796,
Germany,DE,DEU,83019213,2020-W35,2020-08-23,2020-08-29,0.283067005224441,,"TESSy COVID-19, national daily data"
Greece,EL,GRC,10724599,2020-W35,2020-08-23,2020-08-29,,0.167838443190277,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W35,2020-08-23,2020-08-29,0.448591422931994,0.040781038448363,
Latvia,LV,LVA,1919968,2020-W35,2020-08-23,2020-08-29,0.208336805613427,0.0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W35,2020-08-23,2020-08-29,0.237238822478413,,"TESSy COVID-19, national daily data"
Netherlands,NL,NLD,17282163,2020-W35,2020-08-23,2020-08-29,,0.0694357529205112,
Portugal,PT,PRT,10276617,2020-W35,2020-08-23,2020-08-29,0.788197127517743,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W35,2020-08-23,2020-08-29,39.3830206333857,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W35,2020-08-23,2020-08-29,0.33639161366096,,"TESSy COVID-19, national weekly data"
